id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
6694,127521.0,2016.0, ул. Октябрьская,"ул. Октябрьская, д. 89",ОПС Б1_2,False,False,56.236714,36.8413439,"улица Октябрьская, Покровка, городской округ Клин, Московская область, ЦФО, 141662, РФ",городской округ Клин, 141662,False,227892.0,46,140.13367579883766,4,11,3.6768571428571435,83.52157142857143,12,5,14,1,377.33825844080076,10,109.69133875234749,6.0,11.0,1.0,"['пн.: 11:00—20:00, перерыв: 15:00—16:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, перерыв: 13:00—14:00']",True
11234,121096.0,2017.0, ул. Олеко Дундича,"ул. Олеко Дундича, дом 7, к.1",ОПС Б1_2,False,False,55.7421916,37.4978434,"улица Олеко Дундича, Фили, район Филёвский Парк, Западный административный округ, Москва, ЦФО, 121096, РФ",Филёвский Парк, 121096,False,227892.0,11,75.55025737920818,5,16,4.191571428571429,59.139285714285705,8,0,4,1,356.81085991422526,8,269.4484602128421,6.0,11.0,1.0,"['пн.: 11:00—20:00 вт., сб.: 09:00—18:00 ср.—пт.: 09:00—20:00']",True
8420,125438.0,2016.0, ул. Онежская,"ул. Онежская, дом 6",ОПС Б1_2,False,False,55.8561066,37.513405,"Онежская улица, Головинский, Головинский район, Северный административный округ, Москва, ЦФО, 125413, РФ",Головинский, 125413,False,152472.0,7,86.59610941713262,0,4,5.2275714285714265,35.93342857142857,2,5,4,0,,7,53.75724914463285,6.0,11.0,1.0,['пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00'],True
13249,119361.0,2017.0, ул. Очаковская Большая,"ул. Очаковская Большая, дом 17",ОПС Б1,False,False,55.6774542,37.448647799999996,"Большая Очаковская улица, Очаково, район Очаково-Матвеевское, Западный административный округ, Москва, ЦФО, 119361, РФ",Очаково-Матвеевское, 119361,False,168131.0,19,89.71688843960966,1,18,2.0964285714285715,63.753,4,2,6,0,,10,115.91933038177669,6.0,11.0,1.0,,True
7587,117463.0,2016.0, ул. Паустовского,"ул. Паустовского, дом 8 к.1",ОПС Б1_2,False,False,55.60148270000001,37.5409393,"улица Паустовского, район Ясенево, Юго-Западный административный округ, Москва, ЦФО, 117463, РФ",Юго-Западный административный округ, 117463,False,227892.0,29,27.368837046107835,3,10,2.662142857142857,51.941428571428574,5,2,1,0,,8,99.08525708239785,5.0,9.0,0.0,['пн.—пт.: 11:00—20:00 перерыв: 14:00—15:00'],True
13250,109369.0,2017.0, ул. Перерва,"ул. Перерва, дом 24, к.2",ОПС Б1_2,False,False,55.66270600000001,37.75851420000001,"улица Перерва, Марьинский парк, район Марьино, Юго-Восточный административный округ, Москва, ЦФО, 109451, РФ",Марьино, 109451,False,135354.0,29,30.733224301453728,0,12,4.437285714285714,41.45928571428571,2,1,6,0,,11,112.81252227281736,6.0,11.0,1.0,"пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00",True
11677,109341.0,2017.0, ул. Перерва,"ул. Перерва, дом 56 /2",ОПС Б1_2,False,False,55.66270600000001,37.75851420000001,"улица Перерва, Марьинский парк, район Марьино, Юго-Восточный административный округ, Москва, ЦФО, 109451, РФ",Марьино, 109451,False,135354.0,33,59.51931158683706,6,16,4.075142857142857,84.04114285714286,6,1,0,1,259.7014925373134,19,71.36919531943423,6.0,11.0,1.0,"пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00",True
12750,111141.0,2017.0, ул. Перовская,"ул. Перовская, дом 33, к.1",ОПС Б1,False,False,55.74489079999999,37.7989776,"Перовская улица, Новогиреево, район Новогиреево, Восточный административный округ, Москва, ЦФО, 4А, РФ",Новогиреево, 4А,False,137743.0,98,63.252597314677885,1,23,2.9739999999999998,76.59228571428571,6,0,9,0,,15,170.62156232945551,5.0,9.0,0.0,['пн.—пт.: 09:00—18:00'],True
13251,125502.0,2017.0, ул. Петрозаводская,"ул. Петрозаводская, дом 9, к.2",ОПС Б1,False,False,55.8643657,37.5010265,"Петрозаводская улица, район Ховрино, Северный административный округ, Москва, ЦФО, 125414, РФ",Северный административный округ, 125414,False,227892.0,33,69.17793716511811,2,23,1.6042857142857143,65.08242857142857,5,0,1,0,,16,169.92981398112988,5.0,9.0,0.0,['пн.—пт.: 09:00—18:00 перерыв: 13:00—14:00'],True
9364,125481.0,2016.0, ул. Планерная,"ул. Планерная, дом 12",ОПС Б1_2,False,False,55.86073100000001,37.4363874,"Планерная, Планерная улица, Северное Тушино, район Северное Тушино, Северо-Западный административный округ, Москва, ЦФО, 125481, РФ",Северное Тушино, 125481,False,155591.0,41,25.87303854232793,4,28,3.386,48.56728571428572,1,0,3,1,71.92884035833725,19,169.06732476431628,6.0,11.0,1.0,"пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, пн.: 11:00—20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00",True
